,Swatch Name,Image Link,Collection Name,Company
128,CS-10-GUAVAPUNCH,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GUAVAPUNCH.jpg,Century Solids - Citrus,Andover Fabrics
129,CS-10-PAPRIKA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-PAPRIKA.jpg,Century Solids - Citrus,Andover Fabrics
130,CS-10-CARROT,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CARROT.jpg,Century Solids - Citrus,Andover Fabrics
131,CS-10-PAPAYA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-PAPAYA.jpg,Century Solids - Citrus,Andover Fabrics
132,CS-10-SPICE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-SPICE.jpg,Century Solids - Citrus,Andover Fabrics
133,CS-10-GINGER,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GINGER.jpg,Century Solids - Citrus,Andover Fabrics
134,CS-10-BUTTERNUTSQUASH,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BUTTERNUTSQUASH.jpg,Century Solids - Citrus,Andover Fabrics
135,CS-10-MANGO,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-MANGO.jpg,Century Solids - Citrus,Andover Fabrics
136,CS-10-GOLDENROD,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GOLDENROD.jpg,Century Solids - Citrus,Andover Fabrics
137,CS-10-SAFFRON,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-SAFFRON.jpg,Century Solids - Citrus,Andover Fabrics
138,CS-10-SUNSHINE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-SUNSHINE.jpg,Century Solids - Citrus,Andover Fabrics
139,CS-10-BUTTER,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BUTTER.jpg,Century Solids - Citrus,Andover Fabrics
140,CS-10-CORNSILK,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-CORNSILK.jpg,Century Solids - Citrus,Andover Fabrics
141,CS-10-FLAX,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-FLAX.jpg,Century Solids - Citrus,Andover Fabrics
142,CS-10-SULPHUR,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-SULPHUR.jpg,Century Solids - Citrus,Andover Fabrics
143,CS-10-MARGARITA,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-MARGARITA.jpg,Century Solids - Citrus,Andover Fabrics
144,CS-10-SPRING,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-SPRING.jpg,Century Solids - Citrus,Andover Fabrics
145,CS-10-PEAR,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-PEAR.jpg,Century Solids - Citrus,Andover Fabrics
146,CS-10-GUACAMOLE,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-GUACAMOLE.jpg,Century Solids - Citrus,Andover Fabrics
147,CS-10-LEAF,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-LEAF.jpg,Century Solids - Citrus,Andover Fabrics
148,CS-10-JALAPENO,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-JALAPENO.jpg,Century Solids - Citrus,Andover Fabrics
149,CS-10-BRASS,https://www.andoverfabrics.com/72dpi/72dpi-CS-10-BRASS.jpg,Century Solids - Citrus,Andover Fabrics
